X1,X2,y
-2.682,-3.159,0.0
0.818,0.432,1.0
-4.335,-4.075,0.0
-2.577,-2.095,0.0
0.525,1.12,1.0
-1.392,-3.916,0.0
-1.939,-2.578,0.0
1.545,2.228,1.0
-1.384,-2.18,0.0
-0.982,-2.854,0.0
-0.493,2.742,1.0
2.441,0.276,1.0
1.655,0.892,1.0
1.081,1.573,1.0
-2.184,-3.873,0.0
-3.901,-1.586,0.0
-1.031,-2.781,0.0
0.356,2.511,1.0
-2.322,-3.045,0.0
-1.875,-3.859,0.0
1.789,2.133,1.0
-1.854,-2.819,0.0
2.065,2.674,1.0
-0.743,1.454,1.0
2.77,2.864,1.0
-3.202,-1.969,0.0
-0.711,1.491,1.0
0.425,1.119,1.0
-1.508,-3.633,0.0
1.313,3.38,1.0
0.766,0.345,1.0
2.241,2.808,1.0
-3.465,-3.816,0.0
-0.03,-4.236,0.0
2.942,1.743,1.0
-2.977,-1.629,0.0
1.285,1.058,1.0
-2.071,-1.393,0.0
-2.324,-2.387,0.0
-1.994,-4.793,0.0
-0.488,-1.906,0.0
3.13,1.295,1.0
-2.075,-1.913,0.0
1.446,1.451,1.0
2.278,2.034,1.0
-1.977,-4.14,0.0
-1.833,-4.33,0.0
1.665,1.144,1.0
-0.899,2.425,1.0
1.788,1.299,1.0
1.282,1.376,1.0
1.487,1.17,1.0
-2.639,-2.665,0.0
-1.564,-3.011,0.0
0.411,2.429,1.0
-3.27,-3.246,0.0
0.823,-0.564,1.0
0.657,2.183,1.0
-0.81,1.623,1.0
-2.072,-2.034,0.0
2.06,0.342,1.0
-4.263,-3.869,0.0
3.755,2.456,1.0
-2.393,-5.157,0.0
-3.403,-2.356,0.0
1.392,1.299,1.0
-1.542,3.553,1.0
1.766,1.708,1.0
-1.281,-1.857,0.0
-2.384,-1.788,0.0
-1.696,-2.362,0.0
0.757,2.054,1.0
-2.046,-2.546,0.0
-1.553,-1.634,0.0
-2.822,-1.971,0.0
2.014,1.949,1.0
1.284,2.415,1.0
-3.14,-3.195,0.0
1.592,-0.509,1.0
-2.9,-4.258,0.0
0.386,4.171,1.0
-2.4,-2.859,0.0
-2.083,-1.722,0.0
0.025,3.057,1.0
-1.293,-2.408,0.0
0.946,2.433,1.0
-2.895,-2.273,0.0
0.339,1.793,1.0
0.818,2.991,1.0
-0.29,0.143,1.0
-2.36,-3.225,0.0
-2.1,-3.93,0.0
0.115,-3.488,0.0
-1.587,-2.664,0.0
-1.957,-2.31,0.0
-1.782,-2.567,0.0
1.121,2.638,1.0
-2.001,-0.871,0.0
-1.669,-3.185,0.0
-2.288,-2.473,0.0
-2.811,-2.752,0.0
1.494,3.303,1.0
0.808,3.57,1.0
1.383,3.017,1.0
-2.599,-2.635,0.0
2.416,3.395,1.0
2.006,3.638,1.0
0.693,1.296,1.0
-1.135,-2.165,0.0
-1.429,-2.085,0.0
2.033,1.317,1.0
-3.494,-2.645,0.0
-0.275,2.886,1.0
-2.949,-2.131,0.0
-2.464,-4.258,0.0
-1.882,-3.049,0.0
1.23,2.921,1.0
-0.398,3.468,1.0
-2.182,-2.87,0.0
0.817,1.307,1.0
-0.928,1.461,1.0
-2.414,-2.203,0.0
-2.44,-3.223,0.0
-0.439,-3.928,0.0
-1.472,-1.791,0.0
-1.628,-1.62,0.0
-2.343,-3.429,0.0
-1.879,-2.728,0.0
-2.052,-2.782,0.0
-1.002,-1.379,0.0
-2.231,-3.674,0.0
-1.202,-3.502,0.0
-2.792,-4.525,0.0
1.125,1.191,1.0
1.488,2.837,1.0
-1.205,-3.931,0.0
-4.026,-2.515,0.0
2.997,3.168,1.0
-0.546,2.293,1.0
-1.301,-3.076,0.0
1.51,1.381,1.0
-1.232,-2.255,0.0
-0.209,1.705,1.0
2.949,0.896,1.0
0.566,2.0,1.0
-1.922,-2.697,0.0
0.393,2.969,1.0
1.392,0.967,1.0
-3.885,-3.567,0.0
1.534,0.943,1.0
-1.69,-3.282,0.0
0.488,2.137,1.0
-0.783,3.433,1.0
0.984,2.496,1.0
-2.305,-2.709,0.0
0.058,0.529,1.0
-1.977,-3.061,0.0
-2.066,-2.897,0.0
-1.176,2.236,1.0
-0.113,1.723,1.0
-2.299,-1.277,0.0
0.374,0.565,1.0
1.721,0.821,1.0
-1.131,-2.221,0.0
1.103,1.426,1.0
2.766,3.875,1.0
2.276,3.191,1.0
-1.438,-3.272,0.0
0.078,3.026,1.0
-1.273,-2.005,0.0
-1.825,-3.564,0.0
0.689,1.516,1.0
-1.033,-2.539,0.0
-0.208,2.523,1.0
0.37,1.476,1.0
-3.023,-2.723,0.0
-3.564,-2.386,0.0
1.743,2.141,1.0
-3.093,-3.473,0.0
1.811,0.608,1.0
-3.06,-2.416,0.0
1.734,3.211,1.0
-2.793,-1.732,0.0
0.202,2.178,1.0
-2.818,-3.521,0.0
-2.804,-0.805,0.0
1.27,3.255,1.0
0.78,0.728,1.0
-1.534,-3.67,0.0
-2.688,-2.932,0.0
0.863,1.383,1.0
-1.591,-1.562,0.0
-1.744,-3.079,0.0
1.957,1.709,1.0
-1.381,-2.394,0.0
0.575,2.517,1.0
-1.781,-2.384,0.0
-1.512,-3.143,0.0
-0.874,-2.797,0.0
-2.277,-5.135,0.0
-1.759,-2.701,0.0
0.481,0.97,1.0
1.399,0.869,1.0
0.979,1.217,1.0
-2.369,-4.03,0.0
-2.087,-2.459,0.0
2.273,1.475,1.0
1.317,2.912,1.0
0.894,0.394,1.0
0.84,2.873,1.0
-1.536,-2.06,0.0
-2.811,-3.044,0.0
-0.686,-3.913,0.0
-0.603,2.934,1.0
-1.986,-3.908,0.0
-2.415,-2.745,0.0
-1.34,-2.02,0.0
-1.863,-3.729,0.0
-0.729,-3.727,0.0
-2.26,-2.48,0.0
-4.48,-2.144,0.0
-2.354,-2.385,0.0
0.771,0.666,1.0
-1.114,-4.502,0.0
-1.516,-4.224,0.0
1.473,2.091,1.0
0.473,-4.1,0.0
0.022,-3.241,0.0
0.632,0.983,1.0
1.579,1.315,1.0
-0.758,0.329,1.0
0.424,3.087,1.0
1.698,2.103,1.0
-1.694,-1.026,0.0
1.652,1.388,1.0
0.399,2.138,1.0
-1.992,-3.839,0.0
-2.708,-3.044,0.0
-2.923,-2.225,0.0
1.812,2.074,1.0
0.897,1.18,1.0
-4.005,-2.677,0.0
1.392,0.722,1.0
-1.021,-3.017,0.0
-0.233,-4.525,0.0
2.289,1.347,1.0
1.233,1.557,1.0
-3.784,-3.068,0.0
-1.54,-3.485,0.0
1.865,1.842,1.0
-0.741,-2.818,0.0
2.013,2.629,1.0
1.044,1.328,1.0
-0.017,2.917,1.0
0.836,0.072,1.0
-3.019,-1.734,0.0
0.512,2.267,1.0
-1.537,-3.27,0.0
-0.758,2.68,1.0
-1.995,-3.639,0.0
-0.826,-3.982,0.0
1.642,0.749,1.0
-1.396,-2.044,0.0
1.869,1.894,1.0
0.644,2.246,1.0
-2.441,-2.385,0.0
-0.321,-2.451,0.0
2.309,0.576,1.0
-3.346,-3.603,0.0
0.422,2.91,1.0
1.862,1.651,1.0
0.536,1.224,1.0
-2.687,-3.973,0.0
1.113,2.814,1.0
0.468,1.453,1.0
-2.825,-2.837,0.0
2.132,3.669,1.0
-4.291,-2.285,0.0
1.338,2.132,1.0
1.691,2.598,1.0
1.088,1.473,1.0
3.153,1.152,1.0
-3.629,-2.037,0.0
-2.498,-3.709,0.0
-2.428,-3.761,0.0
-1.666,-2.489,0.0
-0.578,4.621,1.0
-3.241,-3.066,0.0
1.273,2.186,1.0
0.851,0.941,1.0
-1.042,-3.777,0.0
1.001,3.831,1.0
1.622,2.429,1.0
-2.818,-3.433,0.0
-3.871,-4.576,0.0
1.774,2.275,1.0
-2.042,-2.009,0.0
-1.234,-3.349,0.0
2.815,3.69,1.0
-0.07,1.909,1.0
-3.265,-4.915,0.0
-2.506,-3.096,0.0
2.563,1.701,1.0
0.94,3.404,1.0
1.371,3.537,1.0
-1.679,-3.746,0.0
-1.562,1.216,1.0
-0.24,-1.473,0.0
-2.912,-5.001,0.0
-3.138,-2.363,0.0
-2.972,-3.223,0.0
-0.271,-4.4,0.0
-3.24,-2.183,0.0
0.286,1.99,1.0
-0.287,-3.313,0.0
-2.606,-2.282,0.0
0.776,0.357,1.0
-1.753,-2.445,0.0
1.97,1.551,1.0
2.082,2.851,1.0
-3.049,-4.123,0.0
-0.227,3.88,1.0
0.663,2.847,1.0
1.987,2.402,1.0
2.928,2.33,1.0
1.649,-0.019,1.0
-2.597,-3.333,0.0
-1.161,-1.568,0.0
-1.3,-5.596,0.0
0.997,0.079,1.0
-1.564,-1.218,0.0
0.499,0.078,1.0
1.192,1.594,1.0
-1.854,-0.561,0.0
2.359,1.394,1.0
-4.094,-2.255,0.0
-2.449,-2.086,0.0
-2.376,-3.747,0.0
-2.121,-1.715,0.0
-0.99,1.796,1.0
1.075,2.62,1.0
-2.577,-4.945,0.0
3.196,2.186,1.0
0.65,3.454,1.0
-1.977,-3.687,0.0
-1.462,-3.157,0.0
2.078,1.0,1.0
1.104,1.89,1.0
-1.923,-2.432,0.0
-2.683,-1.993,0.0
2.067,2.18,1.0
-0.582,-2.987,0.0
-2.216,-5.847,0.0
-2.926,-3.319,0.0
-1.991,-2.216,0.0
-0.074,0.386,1.0
-3.767,-0.557,0.0
1.546,2.532,1.0
-0.717,-1.973,0.0
1.889,2.386,1.0
0.402,-3.355,0.0
0.368,1.4,1.0
-1.27,-1.782,0.0
-2.511,-1.592,0.0
-2.066,-4.059,0.0
0.877,2.948,1.0
2.921,0.502,1.0
-2.95,-2.101,0.0
-1.541,-2.325,0.0
-0.298,-2.434,0.0
-2.75,-3.963,0.0
-2.215,-5.019,0.0
-0.205,4.221,1.0
-0.629,1.443,1.0
-1.253,-4.422,0.0
-2.715,-3.209,0.0
2.114,1.625,1.0
0.197,1.457,1.0
-2.243,-4.402,0.0
-2.198,-3.54,0.0
0.593,3.219,1.0
1.075,1.348,1.0
-3.094,-5.317,0.0
2.134,1.537,1.0
1.722,1.548,1.0
-2.709,-3.728,0.0
-0.868,-4.106,0.0
-0.781,-3.414,0.0
-0.917,1.461,1.0
-1.076,-3.395,0.0
-3.359,-3.338,0.0
-2.839,-3.402,0.0
-1.993,-2.956,0.0
0.823,3.081,1.0
-0.78,-4.716,0.0
-2.404,-2.114,0.0
-0.865,-2.785,0.0
2.846,1.105,1.0
-1.346,-1.638,0.0
1.34,3.447,1.0
1.094,0.432,1.0
-0.278,2.523,1.0
-0.058,3.138,1.0
-1.51,-4.067,0.0
1.172,3.299,1.0
-1.512,-2.119,0.0
0.591,2.309,1.0
1.828,3.383,1.0
0.704,2.204,1.0
1.204,2.495,1.0
2.672,2.433,1.0
-0.565,1.125,1.0
1.897,1.143,1.0
-1.435,-3.269,0.0
-1.968,-3.305,0.0
0.506,1.766,1.0
0.768,1.769,1.0
0.478,0.278,1.0
0.294,2.635,1.0
-0.866,2.666,1.0
-2.259,-3.312,0.0
-1.974,-2.086,0.0
-2.342,-3.104,0.0
-1.078,-3.433,0.0
-1.133,-1.953,0.0
-1.975,-3.443,0.0
-3.963,-3.319,0.0
-0.73,-3.197,0.0
1.41,1.064,1.0
-0.164,4.105,1.0
2.393,4.485,1.0
-1.623,-3.552,0.0
0.436,1.938,1.0
-2.264,-3.957,0.0
-2.179,-3.877,0.0
1.461,2.174,1.0
-1.092,-3.766,0.0
1.594,2.377,1.0
-1.726,-3.464,0.0
1.491,0.829,1.0
0.073,0.456,1.0
2.273,1.121,1.0
-2.765,-2.981,0.0
1.25,1.395,1.0
-0.848,0.317,1.0
-2.265,-2.583,0.0
1.14,2.735,1.0
-1.51,-3.084,0.0
-1.576,-1.441,0.0
1.311,2.394,1.0
-3.047,-4.598,0.0
-1.506,-2.361,0.0
-1.62,1.267,1.0
-0.072,2.617,1.0
-1.537,-4.283,0.0
0.35,2.395,1.0
-1.365,-1.696,0.0
1.221,3.822,1.0
-2.672,-4.069,0.0
0.074,1.05,1.0
1.058,3.111,1.0
-1.953,-3.65,0.0
2.886,2.646,1.0
-0.243,-2.714,0.0
-0.525,-3.311,0.0
-3.669,-2.517,0.0
-1.057,3.663,1.0
1.422,2.658,1.0
0.543,1.761,1.0
-2.199,-2.366,0.0
2.4,3.132,1.0
-0.416,2.911,1.0
-1.476,-3.972,0.0
-2.945,-2.488,0.0
-1.068,-3.515,0.0
0.866,-3.938,0.0
-3.726,-2.955,0.0
2.023,3.729,1.0
-1.828,-3.909,0.0
-0.856,2.066,1.0
-1.422,-2.926,0.0
0.168,2.478,1.0
-2.845,-2.053,0.0
1.311,4.188,1.0
1.129,1.612,1.0
2.209,2.025,1.0
-0.809,1.61,1.0
-2.706,-2.996,0.0
-1.048,-2.959,0.0
0.458,1.893,1.0
1.412,2.509,1.0
-0.864,-2.938,0.0
-1.919,-2.802,0.0
0.292,1.659,1.0
-2.342,-3.583,0.0
0.475,3.063,1.0
2.998,1.047,1.0
2.12,0.55,1.0
1.342,1.936,1.0
-1.749,-2.281,0.0
0.435,0.241,1.0
-2.909,-3.101,0.0
-0.987,0.9,1.0
-1.205,-4.319,0.0
-3.016,-2.755,0.0
1.367,2.565,1.0
0.674,1.682,1.0
-0.295,1.741,1.0
0.475,1.62,1.0
-1.226,-2.921,0.0
0.516,1.769,1.0
-0.563,2.402,1.0
-0.435,3.722,1.0
-0.065,0.931,1.0
-4.241,-2.739,0.0
0.399,2.397,1.0
3.571,1.001,1.0
-1.186,-1.182,0.0
1.222,0.817,1.0
-2.89,-3.095,0.0
-2.947,-1.055,0.0
4.845,0.93,1.0
-1.31,-2.521,0.0
-1.401,-2.785,0.0
2.6,0.926,1.0
-2.303,-2.63,0.0
-1.081,-2.676,0.0
-2.577,-3.011,0.0
1.039,2.261,1.0
0.836,2.08,1.0
-0.623,2.106,1.0
-0.269,-3.769,0.0
-0.437,2.076,1.0
2.041,2.191,1.0
1.745,1.921,1.0
-3.297,-3.05,0.0
-0.105,-1.917,0.0
1.465,0.181,1.0
-3.029,-3.273,0.0
1.982,3.19,1.0
0.707,3.171,1.0
0.358,3.463,1.0
-2.593,-4.485,0.0
-3.168,-2.183,0.0
-2.258,-2.474,0.0
-0.033,1.958,1.0
-0.317,1.48,1.0
-2.239,-2.135,0.0
-2.009,-4.661,0.0
-1.429,-3.9,0.0
-1.638,-3.369,0.0
2.49,2.157,1.0
-2.46,-2.0,0.0
-3.859,-3.731,0.0
-2.604,-2.348,0.0
-2.559,-4.032,0.0
0.655,2.558,1.0
-0.32,2.622,1.0
-2.103,-3.915,0.0
-1.946,-3.329,0.0
2.768,1.726,1.0
1.512,2.598,1.0
-3.28,-2.674,0.0
-1.835,-1.956,0.0
0.207,2.291,1.0
-3.134,-2.616,0.0
0.7,3.369,1.0
3.53,0.626,1.0
-1.925,-2.186,0.0
-0.289,-1.241,0.0
-1.611,-2.732,0.0
-1.384,-3.242,0.0
1.303,1.049,1.0
-0.064,2.591,1.0
-1.863,-2.524,0.0
2.249,3.065,1.0
-0.94,-3.396,0.0
-3.369,-3.704,0.0
1.08,0.52,1.0
0.546,2.69,1.0
-0.694,-4.903,0.0
-0.946,1.896,1.0
-1.065,-2.61,0.0
-2.017,-2.753,0.0
1.729,1.717,1.0
-1.273,1.713,1.0
-2.339,-4.411,0.0
-0.962,3.079,1.0
1.405,3.101,1.0
0.549,2.2,1.0
-2.338,-3.391,0.0
0.171,1.954,1.0
0.646,3.187,1.0
-1.282,1.353,1.0
1.27,1.729,1.0
1.398,1.601,1.0
-2.238,-2.777,0.0
-0.121,2.752,1.0
0.741,1.71,1.0
-4.75,-1.283,0.0
-3.431,-2.048,0.0
0.519,3.721,1.0
-3.767,-3.359,0.0
-2.139,-2.695,0.0
0.519,4.232,1.0
-2.183,-2.46,0.0
1.192,1.508,1.0
0.216,-5.776,0.0
1.959,0.83,1.0
-1.205,-2.996,0.0
-2.186,-4.183,0.0
-2.065,-2.158,0.0
-1.33,-4.055,0.0
-2.684,-3.637,0.0
-1.689,3.051,1.0
1.527,1.707,1.0
-2.998,-2.267,0.0
-1.693,-3.915,0.0
0.061,3.418,1.0
1.141,2.205,1.0
-2.53,-2.439,0.0
0.448,3.587,1.0
1.706,2.832,1.0
-1.854,-3.635,0.0
0.693,1.327,1.0
1.54,1.318,1.0
0.174,3.313,1.0
-1.713,-2.989,0.0
1.571,1.422,1.0
0.528,1.492,1.0
2.016,-0.547,1.0
-1.157,-2.332,0.0
-3.574,-3.532,0.0
-2.68,-1.62,0.0
-3.948,-1.977,0.0
-2.847,-1.993,0.0
0.914,5.346,1.0
2.808,2.358,1.0
0.801,2.502,1.0
-2.211,-2.545,0.0
-0.803,-3.966,0.0
-2.15,-3.051,0.0
-2.186,-3.372,0.0
-1.521,-3.589,0.0
-1.985,-2.196,0.0
-0.91,-4.046,0.0
-3.794,-3.173,0.0
1.314,3.114,1.0
0.346,3.315,1.0
0.556,3.17,1.0
-2.44,-2.881,0.0
1.034,2.533,1.0
0.309,3.513,1.0
-2.735,-3.128,0.0
-0.893,2.077,1.0
0.828,2.424,1.0
-2.803,-3.128,0.0
-1.667,-2.565,0.0
-3.517,-4.265,0.0
0.495,1.226,1.0
-2.997,-2.949,0.0
0.045,1.959,1.0
-1.422,-3.158,0.0
-2.189,-3.708,0.0
1.324,1.236,1.0
-0.833,-3.323,0.0
1.337,2.255,1.0
1.411,1.968,1.0
-1.007,-2.79,0.0
2.224,0.206,1.0
1.138,3.233,1.0
-1.122,-2.635,0.0
0.432,1.584,1.0
-0.795,0.984,1.0
-2.202,-2.708,0.0
-4.466,-2.953,0.0
-2.097,-1.889,0.0
-0.593,-2.998,0.0
-1.808,-2.768,0.0
2.056,2.944,1.0
-3.511,-3.12,0.0
1.26,2.445,1.0
-4.149,-3.759,0.0
-2.07,-2.63,0.0
0.788,0.682,1.0
-0.756,-3.667,0.0
0.499,2.239,1.0
-1.595,-2.459,0.0
-0.611,3.158,1.0
1.775,3.821,1.0
1.028,0.849,1.0
-2.242,-2.786,0.0
-2.549,-2.933,0.0
1.613,0.714,1.0
1.338,1.77,1.0
-0.367,3.278,1.0
3.047,1.083,1.0
-3.714,-3.035,0.0
-0.266,2.05,1.0
-3.175,-1.698,0.0
-1.951,-2.956,0.0
1.956,3.343,1.0
-2.355,-2.642,0.0
-1.264,-4.204,0.0
-1.665,-2.666,0.0
-0.977,-3.402,0.0
0.503,1.882,1.0
0.71,-0.648,1.0
0.762,2.557,1.0
2.148,2.908,1.0
1.203,2.113,1.0
-2.712,-2.762,0.0
-0.486,2.256,1.0
-2.553,-2.745,0.0
-1.916,-2.488,0.0
-1.675,-1.239,0.0
1.386,2.395,1.0
-2.807,-4.67,0.0
-0.003,1.781,1.0
-0.55,2.023,1.0
-2.89,-3.271,0.0
1.457,3.833,1.0
-2.518,-4.896,0.0
-4.75,-2.141,0.0
-2.048,-3.462,0.0
-1.091,-2.835,0.0
-2.828,-3.16,0.0
1.412,2.837,1.0
0.022,2.034,1.0
-1.249,-4.506,0.0
-2.275,-4.096,0.0
0.815,0.567,1.0
-1.771,-2.774,0.0
0.179,1.673,1.0
1.618,3.368,1.0
-1.877,-2.892,0.0
2.171,1.114,1.0
1.741,2.382,1.0
-4.075,-4.452,0.0
-1.595,-3.739,0.0
1.499,2.136,1.0
0.905,4.405,1.0
-0.516,-3.056,0.0
-3.866,-3.278,0.0
-1.02,-3.149,0.0
-1.709,-2.448,0.0
0.229,1.311,1.0
-2.197,-4.254,0.0
-1.023,2.262,1.0
-2.807,-3.326,0.0
0.501,1.418,1.0
2.831,2.958,1.0
-2.201,-0.503,0.0
-2.638,-1.963,0.0
-0.401,1.682,1.0
-2.296,-2.951,0.0
-0.024,2.613,1.0
-2.544,-3.385,0.0
-0.527,-3.387,0.0
-0.107,-3.139,0.0
-1.877,-4.18,0.0
-2.526,-2.565,0.0
-0.101,2.676,1.0
1.297,2.598,1.0
-1.388,-3.207,0.0
-0.748,1.588,1.0
-3.239,-3.577,0.0
-1.422,-4.119,0.0
0.933,2.99,1.0
-4.297,-3.201,0.0
1.44,1.969,1.0
1.254,0.633,1.0
-1.117,-3.399,0.0
1.038,2.537,1.0
-2.137,-3.322,0.0
2.881,2.092,1.0
-0.602,-2.424,0.0
0.455,1.683,1.0
1.701,1.857,1.0
-0.811,-3.89,0.0
-0.15,1.557,1.0
-1.011,-4.787,0.0
2.493,0.65,1.0
-1.34,-2.365,0.0
0.982,0.385,1.0
-0.527,2.117,1.0
1.012,-0.481,1.0
-1.807,-2.869,0.0
0.441,2.127,1.0
-2.169,-3.747,0.0
-0.603,-1.626,0.0
1.284,1.209,1.0
2.92,0.88,1.0
0.715,3.042,1.0
0.589,2.533,1.0
-2.152,-1.717,0.0
-1.507,-3.133,0.0
-1.314,-3.625,0.0
-0.758,-2.572,0.0
-2.215,-1.649,0.0
0.496,-3.521,0.0
-3.575,-1.783,0.0
1.341,1.509,1.0
-2.94,-1.879,0.0
-2.602,-3.907,0.0
-2.004,-3.933,0.0
-1.026,-3.85,0.0
1.137,2.111,1.0
-1.25,-1.775,0.0
0.077,1.757,1.0
-3.288,-1.908,0.0
1.158,1.389,1.0
-3.727,-2.928,0.0
-1.699,-4.58,0.0
-1.353,-3.925,0.0
1.336,2.948,1.0
1.841,2.436,1.0
-2.853,-1.976,0.0
-3.849,-3.95,0.0
-1.554,2.366,1.0
-3.148,-2.688,0.0
2.05,3.299,1.0
0.239,0.992,1.0
-0.726,-2.602,0.0
-3.294,-4.228,0.0
-1.313,-2.243,0.0
-0.05,3.242,1.0
-2.497,-3.573,0.0
1.427,1.892,1.0
0.555,-3.648,0.0
-1.905,-2.042,0.0
0.789,2.679,1.0
1.782,1.251,1.0
-1.21,-2.979,0.0
1.795,2.498,1.0
1.105,2.924,1.0
-3.055,-3.886,0.0
-0.18,3.888,1.0
-1.95,-1.735,0.0
1.27,1.543,1.0
-3.138,-3.858,0.0
0.593,1.878,1.0
-3.304,-2.822,0.0
0.584,1.972,1.0
-1.839,-1.884,0.0
-2.16,-3.313,0.0
-0.062,-1.687,0.0
-3.691,-4.381,0.0
1.208,1.999,1.0
-2.374,-3.111,0.0
-2.644,-3.301,0.0
-1.087,2.657,1.0
-1.913,-4.407,0.0
1.718,2.505,1.0
1.166,0.087,1.0
2.489,3.509,1.0
-1.361,-2.08,0.0
-0.998,-2.412,0.0
-0.745,1.479,1.0
-1.498,-2.961,0.0
0.475,-3.03,0.0
1.869,1.318,1.0
0.786,2.459,1.0
-0.096,1.676,1.0
1.635,1.501,1.0
-2.489,-2.481,0.0
-0.448,-1.884,0.0
2.028,2.476,1.0
2.012,1.688,1.0
-0.811,-2.647,0.0
0.077,1.765,1.0
-1.79,-4.404,0.0
-1.932,-1.542,0.0
0.033,-3.224,0.0
0.643,3.826,1.0
0.524,3.117,1.0
-1.402,-2.663,0.0
0.122,1.751,1.0
-3.406,-3.541,0.0
3.014,0.858,1.0
-2.437,-3.456,0.0
-4.625,-3.173,0.0
-1.806,-4.964,0.0
1.739,1.44,1.0
-2.194,-2.128,0.0
-3.028,-2.776,0.0
1.368,1.946,1.0
-1.429,-2.393,0.0
1.646,3.629,1.0
1.979,2.785,1.0
0.776,1.559,1.0
0.159,0.1,1.0
1.568,-0.375,1.0
1.678,-0.377,1.0
0.22,1.141,1.0
1.75,1.956,1.0
-3.761,-4.694,0.0
-1.519,1.273,1.0
-3.492,-2.736,0.0
-1.42,-3.099,0.0
-2.945,-2.459,0.0
1.313,1.466,1.0
-2.395,-1.918,0.0
0.603,1.934,1.0
-2.206,-3.89,0.0
-1.374,-1.885,0.0
-2.64,-1.31,0.0
-3.073,-3.875,0.0
-1.057,-1.886,0.0
1.489,1.786,1.0
2.399,4.066,1.0
-0.161,3.879,1.0
-2.08,-1.3,0.0
-2.962,-2.317,0.0
-0.274,1.561,1.0
-1.953,-3.76,0.0
-2.632,-4.985,0.0
-1.152,-3.806,0.0
2.708,2.529,1.0
-0.949,-4.262,0.0
-0.27,1.288,1.0
1.312,1.365,1.0
-3.905,-4.455,0.0
-1.91,-2.66,0.0
1.436,0.674,1.0
-2.646,-1.697,0.0
-0.691,-3.712,0.0
-2.171,-3.546,0.0
1.068,-0.98,1.0
-1.369,-2.283,0.0
-0.897,2.616,1.0
-1.788,-2.235,0.0
-2.897,-3.131,0.0
-1.632,-2.848,0.0
-3.019,-2.927,0.0
-3.441,-2.226,0.0
1.62,2.181,1.0
-1.407,-1.192,0.0
-3.098,-2.395,0.0
-1.516,-3.276,0.0
-4.566,-3.171,0.0
1.939,2.613,1.0
-3.723,-3.425,0.0
-0.032,1.888,1.0
0.17,2.406,1.0
-2.438,-3.156,0.0
-0.008,2.787,1.0
-3.721,-3.62,0.0
0.401,0.189,1.0
-2.664,-4.16,0.0
-0.705,1.341,1.0
1.367,2.81,1.0
-1.803,-5.357,0.0
0.325,0.962,1.0
-2.014,-2.413,0.0
2.141,1.156,1.0
-2.943,-3.515,0.0
0.213,2.161,1.0
-1.374,-3.47,0.0
-0.878,-3.529,0.0
1.484,0.889,1.0
1.4,0.095,1.0
-2.87,-1.362,0.0
-2.037,-4.927,0.0
-3.475,-4.428,0.0
-2.985,-4.198,0.0
-1.595,-1.744,0.0
1.542,0.971,1.0
-1.931,-2.001,0.0
-1.762,-3.749,0.0
-1.074,-0.843,0.0
0.632,2.025,1.0
